commit_id,lines_added,lines_removed,lines_modified,files_changed,commit_role
4c7124413aa759b8ea0b90cd39177e525396e662,0,35,0,2,BFC
840a3cbe89694fad75578856976f180e852e69aa,1,62,2,3,BIC
6ce14f6416c84bd9c81777edf899b57ac5000c87,0,0,1,1,BFC
3ff4cbec87da48b0ec1f7b6196607b034de0c680,1,0,0,1,BFC
f2654a4781318dc7ab8d6cde66f1fa39eab980a9,0,0,1,1,BFC
f411a6160bd4278508b5892949ba1a7db6f73489,109,0,0,1,BIC
4cc6feb715c223d59c8cad0dc71bce1a574a2c67,2,1,0,1,BFC
0a46ddd57c9ef9fb5376d4bff65d07e0aea30f35,24,0,2,2,BIC
99df13b6ea811a63eeacb278d05a5b914ce28073,0,3,0,1,BFC
1bf6ad622b9be58484279978f85716fbb10d545b,76,232,45,19,BIC
8c7a758873577f0d1bb3f879584338f73e6c6bc3,2,0,0,1,BFC
4c9f7086ac6d069d5b79ba37ef4f1ed4fa3dc3f7,96,0,0,1,BIC
abeae421b03d800d33894df7fbca6d00c70c358e,0,11,0,1,BFC
bbdf0b2ff32aa75c7bd167569130e9391d2e6282,11,0,0,1,BIC
ac73661c6222faef1a97ec44f424234f165e4710,2,0,0,1,BFC
0fb890c01349c52b55b7adb4a18b362d141303d1,98,1,0,2,BIC
814feed316e9d15b0ae869ca729370e7630b8d13,1,1,0,1,BFC
2e2adb05736c3101a0b301e39bf5adabb8b5fb22,260,6,12,4,BIC
76cc0d3282d4b933fa144fa41fbc5318e0fdca24,4,3,7,1,BFC
265698d7e6132a2d41471135534f4f36ad15b09c,3,0,0,1,BFC
8564e38206de2ff005a27c8d7c2ce3869a44f0dd,44,3,10,3,BIC
63ecc3d9436f8012e49dc846d6cb0a85a3433517,1,0,0,1,BFC
d39d938c8228a4c5860138a53cf2b9ae4c4baec2,31,18,9,1,BIC
c45e2d2547cb2ba0ee8391d8cb2fd2f7cdc016f5,0,1,1,1,BFC
a6d7514b14a6ea2a3868bdcb2fca7b2410738595,72,7,0,1,BIC
b0ade85165b3caeb0cd908cffe5921a39f25c243,3,3,3,1,BFC
8073e960a03bf7b5d5ebfc5ff18ac475e1688f46,20,8,4,1,BIC
c3eec59659cf25916647d2178c541302bb4822ad,0,0,1,1,BFC
ee0ec1946ec2aa11930bfa62a2b12d35256122c2,30,31,3,6,BIC
bf563b01c2895a4bfd1a29cc5abc67fe706ecffd,2,1,0,1,BFC
3d713e0e382e6fcfb4bba1501645b66c129ad60b,48,0,0,2,BIC
4ec1cd3eeeee7ccc35681270da028dbc29ca7bbd,1,1,0,1,BFC
9da5a1092b13468839b1a864b126cacfb72ad016,69,0,0,5,BIC
c6b8e79306f515b5483eb11076e0fbfc140434a8,8,4,2,1,BFC
452562abb5b76c14449dead2a7113f641893e8bc,0,0,6,1,BFC
2ef7a2953c81ee6b341e3ffb33570adc894cf4a5,243,415,8,3,BIC
1298d51c44fddcb609ea6c9fa37b76028593963b,0,0,1,1,BFC
4395890a48551982549d222d1923e2833dac47cf,258,33,16,3,BIC
6878e7de6af726de47f9f3bec649c3f49e786586,38,5,3,1,BFC
1455cf8dbfd06aa7651dcfccbadb7a093944ca65,8,0,0,3,BIC
93dc1774d2a4c7a298d5cdf78cc8acdcb7b1428d,14,0,4,2,BFC
f4757af8516d95aaf9c6a1238887c34914e54622,10,9,0,1,BIC
d53bebdf4d779497b29e1aad26e19cac1d446f42,1,0,0,1,BFC
7a4408c6bd3eb1dafba67986259191be081e3efb,188,9,18,1,BIC
52b81611f209da5f49019260522633e994e241b5,0,1,0,1,BFC
372e3147df7016ebeaa372939e8774a1292db558,264,22,115,2,BIC
1c363eaece2752c5f8b1b874cb4ae435de06aa66,0,0,3,1,BFC
e8d2ed7db7c3cfbe92923c49cc5e830b0a0ee374,0,0,0,0,BIC
a931b9ce93841a5b66b709ba5a244276e345e63b,0,1,1,1,BFC
04c5d5a430fca046cffac099a3f41e74816939da,17,3,4,2,BIC
73600b619bf8b9803a0610624a0e11f5ed8f761e,0,1,1,1,BFC
0b4773fd1649e0d418275557723a7ef54f769dc9,0,14,12,1,BIC
74378c5c8cdaf0ce9f65e67cbd0613286f2c3bad,0,0,1,1,BFC
55168470835688e5da5828cdcf1b1498d7baadb1,7,0,0,1,BFC
4a71fcb8ac5f94c07bf47a43b13258a52e4fe3ad,2,0,3,1,BIC
974d4d03fc020af4fa4e9e72a86f0fefa37803c5,2,0,2,1,BFC
e1bf28868ab0bfd1fc73dd8d5e642d88456c30e9,3,2,6,2,BFC
0a51fb7174f2b7866b4d7a4a5c23b685b674beb6,2,0,0,1,BFC
17b694a5476de09e119c517dcc3b71eff6835bdf,1,0,1,1,BFC
4d26f012ab591d7671237a6b5e990cbbfd50b0b8,5,0,2,1,BIC
0e0f4d47288a8e56ed2586699b89573afcb1bf72,0,0,0,0,BFC
171f2ef82284f61b763a620747806ec2724d1a84,0,0,0,0,BIC
fc9655e65160936e32adae0d0e8aae25eb12c4e0,0,0,0,0,BFC
bfa4133795e5a0badd402dd3f58b13b3cec64a4b,30,0,3,1,BFC
b8f3911610529ba531b99d1e109c7a40fb071f0a,9,0,0,1,BFC
1368f155a972eab037f81b5dea82afd544227552,2,0,0,1,BFC
95907fea4fd8ccc736e0a428e52159b4d42b9958,169,0,0,4,BIC
a2048e34d4655c06d31400646ae495bbfeb16b27,0,0,3,1,BFC
cf7de27ab35172a9240f079477cae3146a182998,11,1,0,3,BIC
4ba55e65f471d011d3ba2ac2022180ea0877d68e,7,6,0,1,BFC
72c0098d92cedb11c7e0151e84918840a4e96b31,49,0,0,4,BIC
b8b7abaed7a49b350f8ba659ddc264b04931d581,8,8,0,2,BFC
cba4671af7550e008f7a7835f06df0763825bf3e,10,0,1,2,BIC
6d57339890c9a9dfcd4ba4f8931b911b962968e3,2,3,7,1,BFC
d35b0996fef3bfe76665e87bbff7d95c6807350a,14,2,11,1,BIC
a231d2783c332ef3e3ba238e82dbe599ff41ba14,0,0,0,0,BFC
9a26882a7378ade6a74f845d439c8ef39b1a4712,0,0,0,0,BIC
70641ccad7d19b8229bf1cac33f5b8e03fdc7c5a,0,0,1,1,BFC
62d212bdb022deeb875f92f6e376c799e3f35eca,9,9,0,1,BFC
9cb067ef8a10bb13112e4d1c0ea996ec96527422,0,0,1,1,BFC
df85b2d767aad90fd2746f993fcd66dd322768f8,0,0,0,0,BFC
8e29f97979c300406c21994986bdfcdb67fe4ff7,1,0,1,1,BFC
65e65ec137f4abe78b6c90c72c0a6ca7474e9ae6,0,0,1,1,BIC
fc22579917eb7e13433448a342f1cb1592920940,2,3,1,1,BFC
5c756065e47dc3e84b00577bd109f0a8e69903d7,1,0,0,1,BFC
6d368e532168cb621731b3936945cd910cb25bd0,1825,164,112,17,BIC
e67b8a685c7c984e834e3181ef4619cd7025a136,1,0,1,1,BFC
8c7c19a55e41ae69d1cd18ab56e6e9b66a679a7c,0,1,0,1,BFC
0a1eb2d474edfe75466be6b4677ad84e5e8ca3f5,5,4,0,1,BIC
cbea8f02069533ea2ad4e5b3bfbcdb0894c20354,5,1,1,1,BFC
1dfa76390bf056a49c1105b11f815a35a693b77c,1,0,1,1,BIC
7095c973453e56efa0903e863b59cd89c75e62dc,0,3,0,1,BFC
ecf091171b70787f92b18eeaa4ddc74f9221fa56,0,0,3,1,BFC
51ae253870f55e14ba2854ce9577ac2920efef0c,0,0,1,1,BFC
70e61199559a09c62714694cd5ac3c3640c41552,255,38,9,3,BIC
5d9da759f7587c87252ef98e70bc0b4a89e4d036,0,0,1,1,BFC
820608548737e315c6f93e3099b4e65bde062334,0,0,1,1,BFC
274ad65c9d02bdcbee9bae045517864c3521d530,6,0,8,3,BIC
3a8b0677fc6180a467e26cc32ce6b0c09a32f9bb,5,0,2,1,BFC
efc644048ecde54f016011fe10110addd0de348f,121,0,0,4,BIC
65d1e3ddeae117f6a224535e10a09145f0f96508,3,0,1,1,BFC
33d72f3822d7ff8a9e45bd7413c811085cb87aa5,2,0,0,1,BIC
97dab2ae7e8473a821f72a039ead0f36b12ba22d,5,0,1,1,BFC
e01e71fc49d4c95090a04f898a3fe788c652a04b,0,3,0,1,BFC
e785fa0a164aa11001cba931367c7f94ffaff888,3,0,0,1,BFC
e5497d766adb92bcbd1fa4a147e188f84f34b20a,193,0,0,5,BIC
0f50a49e3008597abed0fff052d487f77db89093,2,11,0,1,BFC
40f11adc7cd9281227f0a6a627d966dd0a5f0cd9,11,2,0,1,BIC
fd536998314a9dc54f384fa16287321edb81602a,0,0,3,1,BFC
74fa80ee3fae5f749ee34bb82421a4c45ac199e3,1,0,5,1,BIC
1bc944cee663f232e3c37b15a6b2f9185bca413c,0,0,1,1,BFC
f3ee9096fcaf55eae37dfb58603c4dbff6f0a7c9,1,1,0,1,BFC
1a7dd6e2f192960229dd3113a35c74690e503ea2,11,0,76,1,BIC
6d5574ed5c8b1a1f31fcbdab5d26e15533c442ca,3,0,0,1,BFC
5f13e58767a53ebb54265e03c0c4a67650286263,0,0,3,1,BFC
e675c5ec51fe2554719a7b6bcdbef0a770f2c19b,3,13,4,1,BIC
b5accbb0dfae36d8d36cd882096943c98d5ede15,25,17,3,1,BFC
4cf97582b46f123a4b7cd88d999f1806c2eb4093,187,0,1,1,BFC
f8d9422ef80c5126112284493e69c88753c56ad1,53,1,138,1,BIC
9a6e7c39810e4a8bc7fc95056cefb40583fe07ef,19,0,9,1,BFC
7c90705bf2a373aa238661bdb6446f27299ef489,43,0,12,5,BIC
f2ca0b55710752588ccff5224a11e6aea43a996a,116,12,9,2,BIC
d0dbf771309fecd73f4ac1566c1400cb12807ee2,0,0,1,1,BFC
c1e7e466120b80ce49e91af0c9da1ce6dee4844a,913,0,3,5,BIC
8185f5708d2488393dc2acec21d19ac53d61b4a0,0,0,0,0,BFC
60ef690018b262ddcd0d51edf10e40710deb9c9f,32,0,0,1,BIC
6dec0dd4a627d15510c9435c4dbf4b9f4ffeeeb7,0,1,0,1,BFC
1240ea0dc3bb7066299689c82ebe2861c90a0254,0,3,5,2,BIC
c848c49a62b37bfb426086e248810dbcb14b85ff,4,1,0,1,BFC
6b2bbb08747a56dcf4ee33606a06025eca571260,91,36,33,4,BIC
a47f68d6a944113bdc8097db6f933c2e17c27bf9,1,1,0,1,BFC
6fa9c623a03c560178e0dcec23f59dbfd29b21b9,0,0,0,0,BFC
8e6569af3a1b8264c37a2c93a37bef48eb300160,0,0,0,0,BIC
ca558e185972d8ecd308760abf972f5d408bcff0,0,0,2,1,BFC
b95a2d831b815189618d18e3e89bcfa5072351a1,13,0,0,1,BFC
92380b572d95caf48f8424746aeee63c5a2b1922,0,0,1,1,BFC
993f0d93f8538c15bd5c12a1a9fd74c777efea1b,5,0,11,1,BFC
255cd50f207ae8ec7b22663246c833407744e634,2,0,2,1,BFC
a85a970af265f156740977168b542234511b28a8,91,122,207,27,BIC
5153723388c8691b886eb9ad28dde92c01f9b191,0,1,0,1,BFC
021086e383fa408a219f6c6541b37f495f59d576,1,0,0,1,BFC
3898da947bbaf9e7fd5816e825978d360028bba2,6,7,2,2,BIC
2f173d2688559a6f85643d38a2ad6f45eb420c42,4,0,0,1,BFC
460df4c1fc7c00829050c08d6368dc6e6beef307,23,0,4,6,BIC
49a8afca386ee1775519a4aa80f8e121bd227dd4,1,0,0,1,BFC
f6511935f424b9a25059ae18e91ad11dd24980e6,68,13,2,3,BIC
fc3100d64f0ae383ae8d845989103da06d62763b,4,1,2,1,BFC
e585513b76f7b05d08ca3fb250fed11f6ba46ee5,115,509,5,6,BIC
23e9fcfef1f3d10675acce023592796851bcaf1a,2,0,2,1,BFC
7e9e9202bccc3a8224ae10ad5d69cac8627f9c7b,2,0,0,1,BIC
f44e354f857f207cd361269c5e38e1f96e0b616c,2,0,0,1,BFC
33c8d8870c67faf3161898a56af98ac3c1c71450,0,11,0,1,BFC
c7ad5ad297e644601747d6dbee978bf85e14f7bc,45,41,5,4,BFC
f34902c5c6c08024371202a680ce69f2d488776d,19,0,1,1,BFC
8b426dc54cf4056984bab7dfa48c92ee79a46434,13,1,0,1,BIC
6c1cb4393cc7e7107e4e94a9a0744451296ca8a6,1,1,0,1,BFC
833a8b405465e935a1ff7ab086b54a3ef90437ca,1,1,0,1,BFC
e2ef75445340ca7ec2c4558f84ae6c8c5d650fc8,18,13,8,1,BFC
744a4cf63e528c29840f45811d6fb93fd129b87d,8,0,2,1,BIC
ebb516af60e18258aac8e80bbe068740ef1579ed,49,46,2,3,BIC
5829e62ac17a40ab08c1b905565604a4b5fa7af6,1,0,1,1,BFC
9c0827317f235865ae421293f8aecf6cb327a63e,1,2,4,1,BFC
b31ff3cdf540110da4572e3e29bd172087af65cc,8,1,0,1,BFC
f538d4da8d521746ca5ebf8c1a8105eb49bfb45e,145,14,45,12,BIC
2800486ee34825d954f64c6f98037daea328f121,6,0,0,1,BFC
939ae4efd51c627da270af74ef069db5124cb5b0,7,4,0,1,BFC
b9ac5c274b8c9d642567022c0e319bca4db31956,38,3,6,3,BIC
0b6e9ea041e6c932f5b3a86fae2d60cbcfad4dd2,28,2,7,4,BIC
c3881128cb672cf484a52fbb36b5daa9044d9168,2,0,0,1,BFC
a9a1a4833613b8a2e8dd79f860ea1871f17da02c,22,19,0,1,BFC
dc749a09ea5e413564115dee742c3bc958248707,5,22,1,1,BIC
4ce504c4eb5628073f35d38efe490554a12aee04,0,0,4,1,BFC
41470c379b4f8d9a1513d930338fadfbccc287b6,4,0,3,1,BFC
b0e07da3f5c8d069d186a7983ff64eaebf2ea230,9,5,10,1,BFC
3538e80a869be74764ae7db484b371894f04d0f8,15,71,1,1,BIC
