commit_id,lines_added,lines_removed,lines_modified,files_changed,commit_role
c9fbb2d25295a566b97d62e6904741e8e1702d83,7,0,0,1,BFC
4d99f6602cb552fb58db0c3b1d935bb6fa017f24,16,0,6,3,BIC
0b6aa1a20add96437c46db77c9bae2d7529dfbc1,0,2,2,1,BFC
cd813e1cd7122f2c261dce5b54d1e0c97f80e1a5,0,0,1,1,BFC
2df173d9e85d9e2c6a8933c63f0c034accff7e0f,274,0,1,2,BIC
6bd6d8672208e8dc0c18588d6eb4588a195fd788,2,0,0,2,BFC
e8cb7a55eb8dcf65838d0911dc7ba00b7d7accf5,0,4,0,3,BIC
c42d3be0c06f0c1c416054022aa535c08a1f9b39,0,0,1,1,BFC
8626816e905e8e131663dfcae27d307df8c220d0,414,0,0,2,BIC
f82aab2d521e4c1d4f9f98450b4a9a8abeaff1c4,0,1,0,1,BFC
09ea0dfbf972c63dfea8cf46f2fb67f39e4d833b,4,0,2,2,BIC
119e1ef80ecfe0d1deb6378d4ab41f5b71519de1,14,0,0,1,BFC
48a066e72d970a3e225a9c18690d570c736fc455,97,44,39,6,BIC
922983c2a1a2f679cd576eb7162f413c15a4e979,0,0,1,1,BFC
bccd06223f21654eb268e153426a77deb117c1e8,104,15,15,7,BIC
9ea0a46ca2c318fcc449c1e6b62a7230a17888f1,11,1,1,1,BFC
63cc5bcc9fc467bbe61cc9ee52509294bdf04c4b,2,0,0,1,BFC
64bed6cbe38bc95689fb9399872d9ce250192f90,0,0,15,6,BFC
8383f1748829e1a6a07988863ed13a47fb653387,3,0,0,1,BIC
1bf9116d0866a649104a5dfa008c302ad54d1e02,4,0,5,1,BFC
389ab7f01af988c2a1ec5617eb0c7e220df1ef1c,14,0,8,5,BIC
735fc4054b3a25034445c6713d259da0f96f8131,101,26,38,8,BIC
ad0ab027fc6da08cbd34070d816ff3b7986c64ae,3,0,6,1,BFC
a29dba161ad1a01bbfbc80aa184b089ddd169a4e,1,0,0,1,BFC
39d668e04edad25abe184fb329ce35a131146ee5,1,0,1,2,BIC
c3ad2c3b02e953ead2b8d52a0c9e70312930c3d0,49,18,0,4,BFC
4a2c7a7837da1b91468e50426066d988050e4d56,17,20,0,1,BIC
354b064b8ebc1e1ede58550ca9e08bfa81e6af43,2,0,1,1,BFC
99e608b5954c9e1ebadbf9660b74697d9dfd9f20,41,13,8,3,BIC
9897dce2e39aa2f1fa7260b4a936a34f3fc6e775,1,0,0,1,BFC
1222d15a01c7a3a76a5988df341998a647ff462c,123,0,1,2,BIC
5b1fe7bec8a8d0cc547a22e7ddc2bd59acd67de4,4,0,3,1,BFC
f177940a80917044f0ea6fd18ea1bfbdff012050,74,17,6,1,BIC
24ecc3585348b616993a3c4d6dc2c6b8007e358c,15,0,0,1,BFC
e87b5039511a7780f3483a7202b4e67a8493c181,594,0,0,2,BIC
1b622bd59e9fc4375febf8697684746211eaeb4a,0,2,0,1,BFC
a774434981372fc583dfdf39a4094b3f0e3c4677,814,0,0,2,BIC
5dc5bf2899a505085492b1273d34d4a51c41e093,0,0,1,1,BFC
27a8aea13053700ad2a08189024df7e341d1ee51,0,0,4,1,BFC
d6c02a9beb67f13d5f14f23e72fa9981e8b84477,0,0,1,1,BFC
ed996a52c868b62c4e5bf529cb4ccb44bcfa2f8e,18,12,18,5,BIC
7b5ee80a5da3ea44c5abff48e3621135ae9d8177,14,6,0,1,BFC
d60996ab430c8a6033a0944c068edc5ec5becb9b,18,11,10,3,BFC
4c3be61e41b4206878cd021afbdb85f5b76f2099,7,0,0,1,BFC
2c4d6baf1bc4f7729773ffcee9ba2a9781578633,1,1,0,1,BIC
37a366face294facb9c9d9fdd9f5b64a27456cbd,0,0,1,1,BFC
c9b5ad546e7d486465a3dd8c89245ac3707a4384,191,4,17,8,BIC
