commit_id,lines_added,lines_removed,lines_modified,files_changed,commit_role
686e0a0c8c61e0e3f55321d0181fece3efd92777,0,0,0,0,BFC
ff73917d38a691067fd4fddd90c8dfc0e97935d2,0,0,0,0,BIC
b793dab8d811e103665d6bddaaea1c25db3776eb,0,0,0,0,BFC
1c8f4065072387d3b6ee7adcf0dbe3c7ba80c268,0,0,0,0,BIC
d1ecc40a954fd0f5e3789b91fa80f15e82284e39,0,0,0,0,BFC
329f98c1974e2323d9cc30964620e305113adac7,0,0,0,0,BIC
d663186293a818af97c648624bee6c7a59e8218b,0,0,0,0,BFC
b9099ec754b5aaa6bbc2abcfc27da8b48b3dcfd3,0,0,0,0,BIC
fcd2e4b9ca20faf6de959f67df5b454a5b055c56,0,0,0,0,BFC
5fc78f4c842aadb5bbe9d7033930e5b3afdffda6,0,0,0,0,BIC
2c6658c607a3af2ed7bd41dc57a3dd31537d023e,0,0,0,0,BFC
04568cb58a431e51efccd98853ba3a31f758b77f,0,0,0,0,BIC
10c75ccb54e4fe548cb16d7ed426d7d709e6ae76,6,0,0,1,BFC
4a35339958f16d42a4ca06a8da9d4b5ab39ee8ea,84,0,0,3,BIC
a40c20dabdf9045270767c75918feb67f0727c89,7,2,0,1,BFC
6147f7b1e90ff09bd52afc8b9206a7fcd133daf7,6,1,2,1,BFC
9179ba31367bcf481c3c79b5f028c94faad9f30a,0,3,1,1,BFC
76f919ebffe2f666e317ef7cf4a2968590243336,167,50,5,4,BFC
6dad4e8ab3ec65c3b948ad79e83751cf0f04cbdf,795,114,54,6,BIC
8081ede1f73139687a75147d529cebcc5e4149c5,1,9,1,1,BFC
52109584202783e90a83c95103307a9a03ba7d9e,22,42,78,2,BIC
3ca1a42a52ca4b4f02061683851692ad65fefac8,3,2,8,1,BFC
ce57785bf91b1ceaef4f4bffed8a47dc0919c8da,0,0,1,1,BIC
add53535fb3033c249d9327ae3e7c36d3382bbd1,9,0,18,9,BFC
a49b1dc7ae447d7085360cd587fc1c8b9ec6c871,1,7,9,6,BIC
d0c45c8556e57342d44c9548763609ffcc4e3866,5,0,7,5,BFC
28ad5f65c314ffdd5888d6afa61772d3032a332c,26,39,23,7,BIC
43d781b9fa562f0c6e50f62c870fbfeb9dc85213,29,0,37,31,BFC
e39afe3d6dbd908d8fd189571a3c1561088a86c2,167,286,151,48,BIC
119181d1d4327d3259ab25aa0ea3d3bc364afcdc,25,14,34,27,BFC
68e326dea1dba935f6a5299a24343a58b33eed10,103,208,205,41,BIC
9a9ebf8cd72b809405ad571fb2f635ffc9df2420,23,15,23,22,BFC
d345691471b426e540140a4cc431c69f80abfcb6,82,183,147,36,BIC
91a7c58fce065506fd98954d27694e5d83c96638,21,7,35,29,BFC
0b089c1ef7047652b13b4cdfdb1e0e7dbdb8c9ab,33,11,45,2,BFC
3d75ca0adef4280650c6690a0c4702a74a6f3c95,24,0,3,1,BIC
f2a852d36711bd7c7c717abc66c07751f3e1d482,0,0,1,1,BFC
558d52b2976b1db3098139aa83ceb9af9066a0e7,80,3,0,2,BFC
9e712446a80bba9ede824ff00f2af630ed9ac0be,0,2,0,1,BFC
f86b31c6a28f06eed3f6d9dc958079853b0792f1,1,2,0,1,BIC
ec653df2a0cbc306a4bfcb0e3484d318fa779002,1,0,0,1,BFC
2cd896a5e86fc326bda8614b96c0401dcc145868,2,0,1,1,BFC
cc90bc68422318eb8e75b15cd74bc8d538a7df29,3,1,0,1,BIC
c170a5a3b6944ad8e76547c4a1d9fe81c8f23ac8,0,0,1,1,BFC
6c014694b1d2702cdc736d17b60746e7b95ba664,0,0,0,0,BFC
3b1c5d9659718263c7f9c93af82f98221c58f171,19,0,0,3,BIC
c0d66c560ea23615c6d049547154c1a0f7f633c2,0,0,0,0,BFC
1f6ed224594653556adbd8392e03ef0e168c1d48,0,0,0,0,BIC
19873eec7e13fda140a0ebc75d6664e57c00bfb1,6,1,1,1,BFC
d8bd2d442bb2688b428ac7164e5dc6d95d4fa65b,97,16,4,5,BIC
1b02d9e770cd7087f34c743f85ccf5ea8372b047,0,0,0,0,BFC
45ccf6556720293323c20cda717756014ff63007,1,0,0,1,BFC
be8c8facc707d48f367d9313f5972353d24f19be,293,0,0,1,BIC
9d955478a89b4a1ff4e7442216f2822dee8fde73,0,0,0,0,BFC
214b0e1ad01abf4c1f6d8d28fa096bf167e47cef,0,0,1,1,BFC
d88b25be3584138e53076ea3eea3d886c870470e,381,0,0,1,BIC
6ed6c558234f0b6c22e47a3c2feddce3d02324dd,0,0,1,1,BFC
848785df48835eefebe0c4eb5da7690690b0a8b7,6,6,0,2,BFC
8fca9494d4b4d6b57b1398cd473feb308df656db,9,4,1,2,BIC
76366050eb1b3151c4b4110c76538ff14dffb74c,0,0,0,0,BFC
1d0e12fd3a848199f973d42677cde423b76cafaf,0,0,0,0,BIC
09309093d5e8f8774e4a3a0d42b73cf47e9421cf,0,0,1,1,BFC
f601e8f37c2c1c52f2923fffc48204a7f7dc023d,0,0,1,1,BFC
e1f82a0dcf388d98bcc7ad195c03bd812405e6b2,0,0,1,1,BIC
eb2c6ca2db8c9cf112f0b604c1edfe21b5725f17,0,2,6,1,BFC
7c69898b86b45842e1c2799df845e203c71a667e,16,35,2,3,BFC
18efb2f9e897ac65e7a1b2892f4a53e404534eba,35,16,2,3,BIC
c82bf6e133d30e0f9172a20807814fa28aef0f67,0,0,0,0,BFC
c791fc76bc72320135fa79368d70005424016de2,0,0,0,0,BIC
c7187acc3cd08a17e7b506b2b5277f42d1504d29,2,0,0,1,BFC
9d11b7bff9508101d05f06e461ab81b5f0dc90ae,1404,0,0,9,BIC
d4f98dbfe717490e771b6e701904bfcf4b4557f0,11,2,5,1,BFC
14bf62cde79423a02a590e02664ed29a36facec1,1224,0,0,4,BIC
35897b920c8ab5e23331ad429e0aa235528c63ba,9,10,10,1,BIC
0460534b532e5518c657c7d6492b9337d975eaa3,0,0,1,1,BFC
123aaf774f70ba48fb9ab064b6ce75a9b64d7b85,2,2,2,1,BFC
ba9e04a7ddf4f22a10e05bf9403db6b97743c7bf,1,0,1,1,BFC
